time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.005000,0.002010,0.002527,0.002034,0.001162,0.001134,0.000840,0.002913,-0.000572,-0.000442,0.003071,0.100000,-0.100000
0.010000,0.002844,0.001621,0.002522,0.001406,0.003062,-0.000004,0.001637,-0.001751,-0.000611,0.001467,0.100000,-0.100000
0.015000,-0.000404,0.001934,0.002293,0.002878,0.004009,-0.000971,-0.001867,-0.002908,-0.000244,0.002499,0.100000,-0.100000
0.020000,-0.002055,0.003461,0.001682,0.004175,0.004185,-0.003179,-0.001548,-0.002300,-0.000827,0.003672,0.100000,-0.100000
0.025000,0.000227,0.004610,0.003146,0.003350,0.002042,-0.003757,-0.003042,-0.003242,0.000452,0.002995,0.100000,-0.100000
0.030000,-0.002916,0.004861,0.003361,0.004291,0.003195,-0.004492,-0.004019,-0.004414,-0.000142,0.002471,0.100000,-0.100000
0.035000,-0.003752,0.001422,0.004553,0.005461,-0.000197,-0.005807,-0.004805,-0.002301,-0.001616,0.000424,0.100000,-0.100000
0.040000,-0.003469,0.002370,0.006487,0.004095,0.000826,-0.007550,-0.004690,0.000855,-0.005624,0.001558,0.100000,-0.100000
0.045000,-0.000810,-0.001953,0.006875,0.003234,-0.000351,-0.008528,-0.006014,0.001321,-0.003005,0.004528,0.100000,-0.100000
0.050000,-0.003504,-0.004653,0.006277,0.004755,-0.000663,-0.007917,-0.004822,0.001071,-0.005181,0.005094,0.100000,-0.100000
0.055000,-0.005081,-0.004765,0.005350,0.003648,-0.001202,-0.009222,-0.007180,0.001792,-0.005164,0.003941,0.100000,-0.100000
0.060000,-0.005645,-0.004835,0.005978,0.001749,-0.002123,-0.010178,-0.007180,0.001000,-0.003642,0.002690,0.100000,-0.100000
0.065000,-0.006395,-0.003177,0.008378,0.003012,0.000058,-0.013372,-0.008427,0.002602,-0.001176,0.004778,0.100000,-0.100000
0.070000,-0.003991,-0.000834,0.007717,0.005731,0.000949,-0.012865,-0.008583,0.004630,-0.001064,0.002185,0.100000,-0.100000
0.075000,-0.002699,-0.000266,0.009478,0.004734,-0.000046,-0.013826,-0.007444,0.007515,-0.005291,0.002206,0.100000,-0.100000
0.080000,-0.004223,-0.001475,0.010670,0.004889,-0.001317,-0.012816,-0.008809,0.007270,-0.007826,0.002579,0.100000,-0.100000
0.085000,-0.005532,-0.002464,0.012056,0.004855,-0.001342,-0.014980,-0.009845,0.008832,-0.010051,0.003057,0.100000,-0.100000
0.090000,-0.004740,-0.003782,0.012403,0.005281,-0.002092,-0.014940,-0.010335,0.008627,-0.009298,0.003366,0.100000,-0.100000
0.095000,-0.005843,-0.002337,0.016998,0.004361,-0.002015,-0.016335,-0.007501,0.011207,-0.010209,0.002007,0.100000,-0.100000
0.100000,-0.009461,-0.002993,0.015745,0.006152,-0.000366,-0.015071,-0.006737,0.009954,-0.007596,0.000554,0.100000,-0.100000
0.105000,-0.010908,-0.003041,0.015890,0.008150,0.001835,-0.013002,-0.005689,0.010886,-0.008965,0.001522,0.100000,-0.100000
0.110000,-0.012799,-0.000511,0.017170,0.007143,0.002976,-0.011483,-0.005503,0.012033,-0.008076,0.000754,0.100000,-0.100000
0.115000,-0.017014,-0.002233,0.016715,0.009340,0.002506,-0.010448,-0.003509,0.013715,-0.008809,0.000606,0.100000,-0.100000
0.120000,-0.018291,-0.003907,0.017851,0.010667,0.005638,-0.013187,-0.004466,0.013030,-0.007890,-0.000295,0.100000,-0.100000
0.125000,-0.019921,-0.003929,0.018076,0.009253,0.003870,-0.012841,-0.006033,0.012315,-0.008047,-0.001986,0.100000,-0.100000
0.130000,-0.020179,-0.004884,0.019924,0.010424,0.003605,-0.013308,-0.009566,0.014880,-0.009109,-0.001357,0.100000,-0.100000
0.135000,-0.020994,-0.003273,0.017737,0.010648,0.002981,-0.012806,-0.009235,0.017697,-0.008198,-0.000689,0.100000,-0.100000
0.140000,-0.022608,-0.002847,0.019780,0.011416,0.005362,-0.012885,-0.010997,0.017819,-0.009253,-0.002269,0.100000,-0.100000
0.145000,-0.026754,-0.003999,0.022400,0.009874,0.006550,-0.013744,-0.011524,0.018478,-0.007922,-0.005172,0.100000,-0.100000
0.150000,-0.027794,-0.004877,0.022795,0.009453,0.007317,-0.011573,-0.011835,0.016718,-0.009004,-0.005557,0.100000,-0.100000
0.155000,-0.030064,-0.002113,0.023392,0.007684,0.008784,-0.009884,-0.011854,0.015528,-0.009600,-0.005700,0.100000,-0.100000
0.160000,-0.029014,-0.002666,0.023870,0.005932,0.009761,-0.010513,-0.011734,0.017563,-0.008810,-0.006287,0.100000,-0.100000
0.165000,-0.029282,-0.003958,0.023820,0.008117,0.011724,-0.010734,-0.010896,0.017085,-0.006771,-0.005915,0.100000,-0.100000
0.170000,-0.029437,-0.003411,0.025120,0.009789,0.007276,-0.011094,-0.011394,0.018012,-0.007512,-0.005717,0.100000,-0.100000
0.175000,-0.029667,-0.005261,0.023938,0.009677,0.007535,-0.010946,-0.012560,0.018965,-0.007073,-0.007447,0.100000,-0.100000
0.180000,-0.032255,-0.003327,0.025989,0.010141,0.008877,-0.013475,-0.014152,0.018037,-0.010236,-0.008812,0.100000,-0.100000
0.185000,-0.034389,-0.006294,0.027557,0.010716,0.010178,-0.008823,-0.015252,0.018249,-0.011002,-0.008703,0.100000,-0.100000
0.190000,-0.036033,-0.007532,0.028799,0.011017,0.009440,-0.008572,-0.016870,0.020056,-0.012648,-0.009889,0.100000,-0.100000
0.195000,-0.034796,-0.006966,0.028586,0.012465,0.008224,-0.005199,-0.018478,0.022984,-0.014379,-0.007293,0.100000,-0.100000
0.200000,-0.035246,-0.008192,0.030291,0.014067,0.011504,-0.006573,-0.020236,0.021757,-0.015046,-0.005009,0.100000,-0.100000
0.205000,-0.037395,-0.007385,0.030815,0.014588,0.011557,-0.007708,-0.022933,0.020045,-0.016878,-0.004735,0.100000,-0.100000
0.210000,-0.037478,-0.006019,0.031820,0.013312,0.010011,-0.008306,-0.024308,0.025117,-0.016512,-0.005926,0.100000,-0.100000
0.215000,-0.040259,-0.006605,0.030961,0.014327,0.011017,-0.010675,-0.022514,0.026154,-0.018287,-0.005684,0.100000,-0.100000
0.220000,-0.041116,-0.006697,0.033263,0.013423,0.013185,-0.010895,-0.022756,0.025033,-0.017019,-0.003486,0.100000,-0.100000
0.225000,-0.043393,-0.009536,0.033926,0.012443,0.016007,-0.012641,-0.023279,0.026741,-0.015145,-0.004968,0.100000,-0.100000
0.230000,-0.045595,-0.008372,0.035796,0.012095,0.012386,-0.011398,-0.022843,0.028757,-0.016536,-0.004347,0.100000,-0.100000
0.235000,-0.048641,-0.009235,0.034937,0.015140,0.015563,-0.012437,-0.027616,0.028840,-0.016143,-0.005080,0.100000,-0.100000
0.240000,-0.050708,-0.010170,0.035284,0.012173,0.014117,-0.014970,-0.028549,0.030444,-0.015528,-0.003066,0.100000,-0.100000
0.245000,-0.052412,-0.008690,0.038195,0.013574,0.016947,-0.014872,-0.029744,0.031758,-0.014087,-0.000972,0.100000,-0.100000
0.250000,-0.051597,-0.010338,0.039571,0.015124,0.019109,-0.016707,-0.032874,0.032555,-0.011420,-0.003808,0.100000,-0.100000
0.255000,-0.052808,-0.010584,0.042028,0.016390,0.021371,-0.015738,-0.032756,0.032445,-0.010728,-0.001273,0.100000,-0.100000
0.260000,-0.056046,-0.011610,0.043982,0.017683,0.022274,-0.015680,-0.033901,0.032462,-0.009114,-0.001103,0.100000,-0.100000
0.265000,-0.055645,-0.010101,0.042601,0.020810,0.021553,-0.014449,-0.033399,0.032160,-0.007384,-0.002636,0.100000,-0.100000
0.270000,-0.056157,-0.009022,0.044537,0.019002,0.024822,-0.014484,-0.034459,0.033942,-0.006938,-0.001347,0.100000,-0.100000
0.275000,-0.059203,-0.010130,0.046404,0.020513,0.030073,-0.011600,-0.033493,0.032234,-0.003335,-0.005393,0.100000,-0.100000
0.280000,-0.062972,-0.010445,0.046906,0.021577,0.030071,-0.008946,-0.033880,0.034587,-0.001813,-0.007198,0.100000,-0.100000
0.285000,-0.064763,-0.010508,0.044201,0.023705,0.028346,-0.007740,-0.033761,0.037242,-0.002405,-0.006145,0.100000,-0.100000
0.290000,-0.066493,-0.010947,0.044217,0.023902,0.029363,-0.008597,-0.035151,0.039963,-0.004164,-0.007582,0.100000,-0.100000
0.295000,-0.069520,-0.014448,0.043182,0.019903,0.031190,-0.007646,-0.037561,0.044126,-0.007772,-0.009340,0.100000,-0.100000
